Winter or summer;Numeral;Year;Capital;Country;lat;lng
winter;I;1924;Chamonix;France;45.9231;6.8697
winter;II;1928;St. Moritz;Switzerland;46.5;9.833333
winter;III;1932;Lake Placid;United States;44.285556;-73.985278
winter;IV;1936;Garmisch-Partenkirchen;Germany;47.5;11.083333
winter;V;1948;St. Moritz;Switzerland;46.5;9.833333
winter;VI;1952;Oslo;Norway;59.95;10.75
winter;VII;1956;Cortina d'Ampezzo;Italy;46.540278;12.136111
winter;VIII;1960;Squaw Valley;United States;39.196;-120.235
winter;IX;1964;Innsbruck;Austria;47.266667;11.383333
winter;X;1968;Grenoble;France;45.2002;5.7222
winter;XI;1972;Sapporo;Japan;43.066667;141.35
winter;XII;1976;Innsbruck;Austria;47.266667;11.383333
winter;XIII;1980;Lake Placid;United States;44.285556;-73.985278
winter;XIV;1984;Sarajevo;Yugoslavia;43.866667;18.416667
winter;XV;1988;Calgary;Canada;51.05;-114.066667
winter;XVI;1992;Albertville;France;45.6767;6.3933
winter;XVII;1994;Lillehammer;Norway;61.116667;10.466667
winter;XVIII;1998;Nagano;Japan;36.633333;138.183333
winter;XIX;2002;Salt Lake City;United States;40.75;-111.883333
winter;XX;2006;Turin;Italy;45.066667;7.7
winter;XXI;2010;Vancouver;Canada;49.25;-123.1
winter;XXII;2014;Sochi;Russia;43.585278;39.720278
winter;XXIII;2018;Pyeongchang;South Korea;37.366667;128.4
winter;XXIV;2022;Beijing;China;39.916667;116.383333
summer;I;1896;Athens;Greece;37.966667;23.716667
summer;II;1900;Paris;France;48.8567;2.3508
summer;III;1904;St. Louis;United States;38.627222;-90.197778
summer;IV;1908;London;United Kingdom;51.507222;-0.1275
summer;V;1912;Stockholm;Sweden;59.329444;18.068611
summer;VII;1920;Antwerp;Belgium;51.216667;4.4
summer;VIII;1924;Paris;France;48.8567;2.3508
summer;IX;1928;Amsterdam;Netherlands;52.366667;4.9
summer;X;1932;Los Angeles;United States;34.05;-118.25
summer;XI;1936;Berlin;Germany;52.516667;13.383333
summer;XIV;1948;London;United Kingdom;51.507222;-0.1275
summer;XV;1952;Helsinki;Finland;60.170833;24.9375
summer;XVI;1956;Melbourne;Australia;-37.813611;144.963056
summer;XVII;1960;Rome;Italy;41.9;12.5
summer;XVIII;1964;Tokyo;Japan;35.683333;139.683333
summer;XIX;1968;Mexico City;Mexico;19.433333;-99.133333
summer;XX;1972;Munich;West Germany;48.133333;11.566667
summer;XXI;1976;Montreal;Canada;45.5;-73.566667
summer;XXII;1980;Moscow;Soviet Union;55.75;37.616667
summer;XXIII;1984;Los Angeles;United States;34.05;-118.25
summer;XXIV;1988;Seoul;South Korea;37.566667;126.966667
summer;XXV;1992;Barcelona;Spain;41.383333;2.183333
summer;XXVI;1996;Atlanta;United States;33.755;-84.39
summer;XXVII;2000;Sydney;Australia;-33.865;151.209444
summer;XXVIII;2004;Athens;Greece;37.966667;23.716667
summer;XXIX;2008;Beijing;China;39.916667;116.383333
summer;XXX;2012;London;United Kingdom;51.507222;-0.1275
summer;XXXI;2016;Rio de Janeiro;Brazil;-22.908333;-43.196389
summer;XXXII;2020;Tokyo;Japan;35.683333;139.683333
